DocType: Interview Evaluation table 1, knowledge of the required position ,
DocType: User Account Creation or Amendment table 1,Access ,
DocType: User Account Creation or Amendment table 1,Allowed,سمح
DocType: Interview Evaluation,Amended From,عدل من
DocType: Interview Evaluation,Any chronic diseases,أي من الأمراض المزمنة
DocType: Interview Evaluation table 1,Appearance  & Communication Skills ,
DocType: Interview Evaluation,Applicant Name,اسم مقدم الطلب
DocType: Custody Returning table 1,Asset No or code,الأصول لا أو رمز
DocType: Requisition of Materials or Services,Attachment,مرفق
DocType: User Account Creation or Amendment,Birth Date,تاريخ الميلاد
DocType: User Account Creation or Amendment,Change permissions,تغيير الأذونات
DocType: Interview Evaluation table 1,Comments,تعليقات
DocType: Interview Evaluation table 1,Computer Skills,مهارات الحاسوب
DocType: Custody Returning table 1,Condition,الحالة
DocType: User Account Creation or Amendment,Create new account,انشاء حساب جديد
DocType: Custody Issuance,Custody Issuance,حضانة إصدار
apps/hr_extras/hr_extras/config/hr.py +12,Custody Issuance Form for you.,نموذج إصدار الحضانة بالنسبة لك.
DocType: Custody Returning,Custody Returning,حضانة العودة
DocType: Custody Returning table 1,Custody Returning table 1,حضانة جدول زيارات 1
DocType: Requisition of Materials or Services,Date,تاريخ
DocType: User Account Creation or Amendment,Delete account,حذف الحساب
DocType: Custody Issuance,Department,قسم
DocType: Custody Returning table 1,Description,وصف
DocType: Overtime,Designation,تعيين
DocType: Custody Returning,EEN,EEN
DocType: Interview Evaluation table 1,Education/Training ,
DocType: Interview Evaluation,Email Address,عنوان البريد الإلكتروني
DocType: Overtime,Employee,موظف
DocType: Interview Evaluation table 1,Evaluation Criteria,معيار التقييم
DocType: Interview Evaluation table 1,Experience ,
DocType: User Account Creation or Amendment,Female,أنثى
DocType: User Account Creation or Amendment,First Name,الاسم الأول
DocType: Overtime table 1,From Time,من وقت
DocType: User Account Creation or Amendment,Gender,جنس
DocType: Interview Evaluation,Has an allergic reaction from:,لديه رد فعل تحسسي من:
DocType: aas,Hr Extras,ساعة إضافات
DocType: Overtime table 1,Hrs,ساعة
DocType: User Account Creation or Amendment table 2,If Document Type,إذا نوع الوثيقة
DocType: Interview Evaluation,If yes please specify the type of tests required,إذا كانت الإجابة بنعم يرجى تحديد نوع الاختبارات المطلوبة
DocType: Interview Evaluation,Interview End Time,مقابلة نهاية الوقت
DocType: Interview Evaluation,Interview Evaluation,تقييم مقابلة
DocType: Interview Evaluation table 1,Interview Evaluation table 1,جدول تقييم مقابلة 1
DocType: Interview Evaluation,Interview Start Time,مقابلة وقت بدء
DocType: Interview table 1,Interview table 1,جدول مقابلة 1
DocType: Interview Evaluation,Interviewer  1,المقابلة 1
DocType: Interview Evaluation,Interviewer  2,المقابلة 2
DocType: Interview Evaluation,Interviewer  3,المقابلة 3
DocType: User Account Creation or Amendment table 2,Is,هل
DocType: Interview Evaluation,Is the assessment tests required,هي اختبارات التقييم المطلوبة
DocType: Interview Evaluation,Is this applicant recommended to be in final applicants list,وهذا الطلب أوصى أن يكون في قائمة المتقدمين النهائية
DocType: Custody Returning table 1,Issuance  Date,تاريخ الإصدار
DocType: Custody Issuance,Issuance Date,تاريخ الإصدار
DocType: Custody Issuance,Issued To,أصدرت ل
DocType: Custody Issuance,Items List,قائمة وحدات
DocType: Interview Evaluation table 1,Job Stability,الاستقرار الوظيفي
DocType: Interview Evaluation,Job Title ,
DocType: Interview Evaluation table 1,Language ,
DocType: User Account Creation or Amendment,Last Name,اسم العائلة
DocType: Custody Issuance,Location,الموقع
DocType: User Account Creation or Amendment,Male,ذكر
DocType: User Account Creation or Amendment,Middle Name,الاسم الأوسط
DocType: Interview Evaluation,No,لا
DocType: User Account Creation or Amendment table 1,Not Allowed,غير مسموح
DocType: Interview Evaluation table 1,Not Satisfactory ,
DocType: User Account Creation or Amendment,Other,آخر
DocType: Interview Evaluation table 1,Outstanding,معلقة
DocType: Overtime,Overtime,
DocType: Overtime table 1,Overtime table 1,
DocType: Custody Issuance,Position,
DocType: Overtime table 1,Project,مشروع
DocType: Interview Evaluation,Range of Salary Expectations,
DocType: Interview Evaluation table 1,Rating,تقييم
apps/hr_extras/hr_extras/config/hr.py +7,Recruitment,تجنيد
DocType: Custody Returning table 1,Remarks,تصريحات
DocType: User Account Creation or Amendment,Request type,
DocType: Interview Evaluation,Requested By,
DocType: Interview Evaluation,Requesting Party Designation,
DocType: Requisition of Materials or Services,Requisition of Materials or Services,
DocType: Custody Returning,Returned From,
DocType: Custody Returning,Returning Date,
DocType: User Account Creation or Amendment table 1,Role,دور
DocType: User Account Creation or Amendment,Role Permissions,ضوابط دور
DocType: Interview Evaluation table 1,Satisfactory           ,
DocType: Interview Evaluation,Smoker,
DocType: aas,System Manager,مدير النظام
DocType: Overtime table 1,To Time,إلى وقت
DocType: User Account Creation or Amendment,User Account Creation or Amendment,
DocType: User Account Creation or Amendment table 1,User Account Creation or Amendment table 1,
DocType: User Account Creation or Amendment table 2,User Account Creation or Amendment table 2,
DocType: User Account Creation or Amendment,User Permissions,ضوابط المستخدم
DocType: Interview Evaluation table 1,Very satisfactory,
DocType: User Account Creation or Amendment,Work email,
DocType: Interview Evaluation,Yes,نعم
DocType: aas,aas,
DocType: aas,ggg,
